,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
0,110000,北京市,0,0,0,0,0,0,110000,北京市,0,0,0,0,0,0,110000,北京市,0,0,0,0,0,0,110000,北京市,0,0,0,0,0,0,110000,北京市,0,0,3,5,0,0,110000,北京市,0,0,5,10,0,0,110000,北京市,0,0,4,14,0,0,110000,北京市,0,0,12,26,0,0,110000,北京市,0,0,10,36,0,0,110000,北京市,0,0,15,51,0,0,110000,北京市,0,0,16,67,0,0,110000,北京市,0,0,13,80,1,1,110000,北京市,0,0,16,96,0,1,110000,北京市,0,0,16,112,0,1,110000,北京市,0,0,20,132,0,1,110000,北京市,0,0,24,156,0,1,110000,北京市,0,0,27,183,0,1,110000,北京市,0,0,32,212,0,1,110000,北京市,65,141,16,228,0,1,110000,北京市,63,160,25,253,0,1,110000,北京市,65,170,21,274,0,1,110000,北京市,51,157,23,297,0,1,110000,北京市,83,163,18,315,1,2,110000,北京市,64,184,11,326,0,2,110000,北京市,1,94,207,11,337,0,2,110000,北京市,1,86,236,5,342,1,3,110000,北京市,1,86,218,10,352,0,3,110000,北京市,1,61,194,14,366,0,3,110000,北京市,1,54,167,6,372,0,3,110000,北京市,1,51,155,3,375,1,4,110000,北京市,1,35,122,5,380,0,4,110000,北京市,1,33,116,1,381,0,4,110000,北京市,1,49,128,6,387,0,4,110000,北京市,1,58,145,6,393,0,4,110000,北京市,25,125,2,395,0,4,110000,北京市,41,114,1,396,0,4,110000,北京市,1,26,104,3,399,0,4,110000,北京市,1,35,100,0,399,0,4,110000,北京市,1,30,94,0,399,0,4,110000,北京市,1,18,73,1,400,0,4,110000,北京市,1,21,57,0,400,0,4,110000,北京市,1,10,46,10,410,1,5,110000,北京市,1,12,38,0,410,2,7,110000,北京市,1,9,33,1,411,1,8,110000,北京市,1,18,39,2,413,0,8,110000,北京市,1,12,42,1,414,0,8,110000,北京市,1,14,37,0,414,0,8,110000,北京市,1,11,38,3,417,0,8,110000,北京市,1,10,34,1,418,0,8
1,120000,天津市,0,0,0,0,0,0,120000,天津市,0,0,0,0,0,0,120000,天津市,0,0,0,0,0,0,120000,天津市,0,0,0,0,0,0,120000,天津市,0,0,0,0,0,0,120000,天津市,0,0,2,2,0,0,120000,天津市,0,0,2,4,0,0,120000,天津市,14,47,1,5,0,0,120000,天津市,27,51,3,8,0,0,120000,天津市,40,61,2,10,0,0,120000,天津市,48,85,5,15,0,0,120000,天津市,44,88,8,23,0,0,120000,天津市,45,103,2,25,0,0,120000,天津市,40,104,2,27,0,0,120000,天津市,77,150,5,32,0,0,120000,天津市,53,142,2,34,0,0,120000,天津市,57,112,11,45,0,0,120000,天津市,65,133,4,49,0,0,120000,天津市,85,168,14,63,0,0,120000,天津市,97,190,4,67,0,0,120000,天津市,97,190,3,70,1,1,120000,天津市,101,228,9,79,0,1,120000,天津市,132,297,2,81,0,1,120000,天津市,123,287,7,88,0,1,120000,天津市,2,120,292,3,91,0,1,120000,天津市,2,129,278,5,96,1,2,120000,天津市,2,150,328,10,106,0,2,120000,天津市,2,152,354,6,112,1,3,120000,天津市,2,172,387,7,119,0,3,120000,天津市,2,128,357,1,120,0,3,120000,天津市,2,109,348,2,122,0,3,120000,天津市,2,88,285,2,124,0,3,120000,天津市,2,83,249,1,125,0,3,120000,天津市,2,62,215,3,128,0,3,120000,天津市,57,200,2,130,0,3,120000,天津市,37,173,1,131,0,3,120000,天津市,2,31,131,2,133,0,3,120000,天津市,2,51,141,2,135,0,3,120000,天津市,2,22,108,0,135,0,3,120000,天津市,2,38,90,0,135,0,3,120000,天津市,2,14,75,0,135,0,3,120000,天津市,2,20,53,0,135,0,3,120000,天津市,2,24,55,1,136,0,3,120000,天津市,2,14,47,0,136,0,3,120000,天津市,2,11,39,0,136,0,3,120000,天津市,2,9,26,0,136,0,3,120000,天津市,2,17,31,0,136,0,3,120000,天津市,2,17,35,0,136,0,3,120000,天津市,2,11,33,0,136,0,3
2,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,0,0,0,0,130000,河北省,0,0,1,1,0,0,130000,河北省,0,0,1,2,1,1,130000,河北省,0,0,6,8,0,1,130000,河北省,7,5,5,13,0,1,130000,河北省,11,13,5,18,0,1,130000,河北省,38,20,15,33,0,1,130000,河北省,45,56,15,48,0,1,130000,河北省,38,68,17,65,0,1,130000,河北省,51,78,17,82,0,1,130000,河北省,47,88,14,96,0,1,130000,河北省,60,104,8,104,0,1,130000,河北省,50,108,9,113,0,1,130000,河北省,41,93,13,126,0,1,130000,河北省,58,117,9,135,0,1,130000,河北省,60,133,22,157,0,1,130000,河北省,44,117,14,171,0,1,130000,河北省,36,81,24,195,0,1,130000,河北省,26,76,11,206,1,2,130000,河北省,3,9,61,12,218,0,2,130000,河北省,3,15,44,21,239,0,2,130000,河北省,3,20,43,12,251,0,2,130000,河北省,3,11,37,14,265,1,3,130000,河北省,3,12,39,18,283,0,3,130000,河北省,3,8,33,8,291,0,3,130000,河北省,3,2,26,9,300,0,3,130000,河北省,3,2,13,1,301,0,3,130000,河北省,3,1,6,1,302,1,4,130000,河北省,3,0,0,4,306,0,4,130000,河北省,0,0,1,307,1,5,130000,河北省,0,0,1,308,0,5,130000,河北省,3,0,0,1,309,1,6,130000,河北省,3,0,0,2,311,0,6,130000,河北省,3,0,0,0,311,0,6,130000,河北省,3,0,0,0,311,0,6,130000,河北省,3,0,0,1,312,0,6,130000,河北省,3,0,0,5,317,0,6,130000,河北省,3,0,0,1,318,0,6,130000,河北省,3,0,0,0,318,0,6,130000,河北省,3,0,0,0,318,0,6,130000,河北省,3,0,0,0,318,0,6,130000,河北省,3,0,0,0,318,0,6,130000,河北省,3,0,0,0,318,0,6,130000,河北省,3,0,0,0,318,0,6
3,140000,山西省,0,0,0,0,0,0,140000,山西省,0,0,0,0,0,0,140000,山西省,0,0,0,0,0,0,140000,山西省,0,0,0,0,0,0,140000,山西省,0,0,0,0,0,0,140000,山西省,0,1,0,0,0,0,140000,山西省,1,1,1,1,0,0,140000,山西省,22,22,0,1,0,0,140000,山西省,9,19,5,6,0,0,140000,山西省,14,28,3,9,0,0,140000,山西省,34,57,4,13,0,0,140000,山西省,23,44,7,20,0,0,140000,山西省,21,41,7,27,0,0,140000,山西省,28,54,8,35,0,0,140000,山西省,23,67,4,39,0,0,140000,山西省,28,75,8,47,0,0,140000,山西省,26,64,9,56,0,0,140000,山西省,32,64,10,66,0,0,140000,山西省,21,62,8,74,0,0,140000,山西省,14,42,7,81,0,0,140000,山西省,20,42,9,90,0,0,140000,山西省,22,54,6,96,0,0,140000,山西省,28,58,8,104,0,0,140000,山西省,30,71,12,115,0,0,140000,山西省,4,18,63,4,119,0,0,140000,山西省,4,27,58,3,122,0,0,140000,山西省,4,23,65,2,124,0,0,140000,山西省,4,24,72,2,126,0,0,140000,山西省,4,24,71,0,126,0,0,140000,山西省,4,12,62,1,127,0,0,140000,山西省,4,15,43,1,128,0,0,140000,山西省,4,5,32,1,129,0,0,140000,山西省,4,6,26,1,130,0,0,140000,山西省,4,3,22,1,131,0,0,140000,山西省,1,11,0,131,0,0,140000,山西省,5,11,1,132,0,0,140000,山西省,4,2,12,0,132,0,0,140000,山西省,4,1,11,0,132,0,0,140000,山西省,4,4,12,0,132,0,0,140000,山西省,4,0,10,1,133,0,0,140000,山西省,4,1,9,0,133,0,0,140000,山西省,4,1,9,0,133,0,0,140000,山西省,4,0,5,0,133,0,0,140000,山西省,4,0,0,0,133,0,0,140000,山西省,4,0,0,0,133,0,0,140000,山西省,4,0,0,0,133,0,0,140000,山西省,4,0,0,0,133,0,0,140000,山西省,4,0,0,0,133,0,0,140000,山西省,4,0,0,0,133,0,0
4,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,0,0,0,0,0,0,150000,内蒙古自治区,2,2,1,1,0,0,150000,内蒙古自治区,4,5,1,2,0,0,150000,内蒙古自治区,0,0,5,7,0,0,150000,内蒙古自治区,4,1,4,11,0,0,150000,内蒙古自治区,1,2,2,13,0,0,150000,内蒙古自治区,3,3,3,16,0,0,150000,内蒙古自治区,0,0,2,18,0,0,150000,内蒙古自治区,1,1,2,20,0,0,150000,内蒙古自治区,4,4,3,23,0,0,150000,内蒙古自治区,5,7,3,26,0,0,150000,内蒙古自治区,1,4,7,33,0,0,150000,内蒙古自治区,0,2,4,37,0,0,150000,内蒙古自治区,0,1,5,42,0,0,150000,内蒙古自治区,4,5,4,46,0,0,150000,内蒙古自治区,6,9,3,49,0,0,150000,内蒙古自治区,4,12,1,50,0,0,150000,内蒙古自治区,3,11,4,54,0,0,150000,内蒙古自治区,5,3,12,4,58,0,0,150000,内蒙古自治区,5,2,10,0,58,0,0,150000,内蒙古自治区,5,1,11,2,60,0,0,150000,内蒙古自治区,5,3,13,1,61,0,0,150000,内蒙古自治区,5,1,12,2,63,0,0,150000,内蒙古自治区,5,7,16,5,68,0,0,150000,内蒙古自治区,5,4,19,2,70,0,0,150000,内蒙古自治区,5,3,17,2,72,0,0,150000,内蒙古自治区,5,0,16,1,73,0,0,150000,内蒙古自治区,5,3,17,2,75,0,0,150000,内蒙古自治区,0,17,0,75,0,0,150000,内蒙古自治区,0,16,0,75,0,0,150000,内蒙古自治区,5,0,15,0,75,0,0,150000,内蒙古自治区,5,0,14,0,75,0,0,150000,内蒙古自治区,5,0,14,0,75,0,0,150000,内蒙古自治区,5,0,13,0,75,0,0,150000,内蒙古自治区,5,0,11,0,75,0,0,150000,内蒙古自治区,5,0,11,0,75,0,0,150000,内蒙古自治区,5,0,10,0,75,0,0,150000,内蒙古自治区,5,0,10,0,75,0,0,150000,内蒙古自治区,5,0,8,0,75,0,0,150000,内蒙古自治区,5,0,8,0,75,0,0,150000,内蒙古自治区,5,0,2,0,75,0,0,150000,内蒙古自治区,5,0,1,0,75,1,1,150000,内蒙古自治区,5,0,1,0,75,0,1
5,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,0,0,0,0,210000,辽宁省,0,0,2,2,0,0,210000,辽宁省,0,0,2,4,0,0,210000,辽宁省,0,0,8,12,0,0,210000,辽宁省,18,24,5,17,0,0,210000,辽宁省,37,40,5,22,0,0,210000,辽宁省,22,52,5,27,0,0,210000,辽宁省,40,72,9,36,0,0,210000,辽宁省,35,85,3,39,0,0,210000,辽宁省,45,89,6,45,0,0,210000,辽宁省,55,122,15,60,0,0,210000,辽宁省,48,116,4,64,0,0,210000,辽宁省,56,113,6,70,0,0,210000,辽宁省,42,120,4,74,0,0,210000,辽宁省,35,127,7,81,0,0,210000,辽宁省,42,143,8,89,0,0,210000,辽宁省,47,169,5,94,0,0,210000,辽宁省,86,226,5,99,0,0,210000,辽宁省,73,263,6,105,0,0,210000,辽宁省,6,81,280,2,107,0,0,210000,辽宁省,6,102,331,1,108,0,0,210000,辽宁省,6,82,287,3,111,0,0,210000,辽宁省,6,86,306,5,116,1,1,210000,辽宁省,6,66,262,1,117,0,1,210000,辽宁省,6,66,257,2,119,0,1,210000,辽宁省,6,69,275,1,120,0,1,210000,辽宁省,6,45,243,1,121,0,1,210000,辽宁省,6,64,191,0,121,0,1,210000,辽宁省,6,64,168,0,121,0,1,210000,辽宁省,26,155,0,121,0,1,210000,辽宁省,20,77,0,121,0,1,210000,辽宁省,6,14,40,0,121,0,1,210000,辽宁省,6,13,34,0,121,0,1,210000,辽宁省,6,15,38,0,121,0,1,210000,辽宁省,6,9,36,0,121,0,1,210000,辽宁省,6,6,24,0,121,0,1,210000,辽宁省,6,14,29,0,121,0,1,210000,辽宁省,6,22,44,0,121,0,1,210000,辽宁省,6,15,29,0,121,0,1,210000,辽宁省,6,11,24,1,122,0,1,210000,辽宁省,6,16,31,0,122,0,1,210000,辽宁省,6,18,38,3,125,0,1,210000,辽宁省,6,36,55,0,125,0,1,210000,辽宁省,6,32,85,0,125,0,1
6,220000,吉林省,0,0,0,0,0,0,220000,吉林省,0,0,0,0,0,0,220000,吉林省,0,0,0,0,0,0,220000,吉林省,0,0,0,0,0,0,220000,吉林省,0,1,0,0,0,0,220000,吉林省,0,1,0,0,0,0,220000,吉林省,0,0,1,1,0,0,220000,吉林省,0,0,2,3,0,0,220000,吉林省,0,0,1,4,0,0,220000,吉林省,3,3,0,4,0,0,220000,吉林省,1,3,2,6,0,0,220000,吉林省,1,3,2,8,0,0,220000,吉林省,1,2,1,9,0,0,220000,吉林省,5,10,5,14,0,0,220000,吉林省,3,10,0,14,0,0,220000,吉林省,6,10,3,17,0,0,220000,吉林省,10,14,6,23,0,0,220000,吉林省,12,17,8,31,0,0,220000,吉林省,17,24,11,42,0,0,220000,吉林省,48,58,12,54,0,0,220000,吉林省,37,69,5,59,0,0,220000,吉林省,29,71,6,65,1,1,220000,吉林省,13,67,4,69,0,1,220000,吉林省,19,56,9,78,0,1,220000,吉林省,7,15,40,2,80,0,1,220000,吉林省,7,24,47,1,81,0,1,220000,吉林省,7,24,57,2,83,0,1,220000,吉林省,7,12,55,1,84,0,1,220000,吉林省,7,10,39,2,86,0,1,220000,吉林省,7,8,27,2,88,0,1,220000,吉林省,7,16,37,1,89,0,1,220000,吉林省,7,9,36,0,89,0,1,220000,吉林省,7,14,34,0,89,0,1,220000,吉林省,7,11,36,1,90,0,1,220000,吉林省,9,31,1,91,0,1,220000,吉林省,4,18,0,91,0,1,220000,吉林省,7,7,20,0,91,0,1,220000,吉林省,7,7,19,0,91,0,1,220000,吉林省,7,7,20,2,93,0,1,220000,吉林省,7,14,27,0,93,0,1,220000,吉林省,7,2,18,0,93,0,1,220000,吉林省,7,2,3,0,93,0,1,220000,吉林省,7,3,5,0,93,0,1,220000,吉林省,7,3,6,0,93,0,1,220000,吉林省,7,6,9,0,93,0,1,220000,吉林省,7,2,9,0,93,0,1,220000,吉林省,7,2,4,0,93,0,1,220000,吉林省,7,0,2,0,93,0,1,220000,吉林省,7,0,2,0,93,0,1
7,230000,黑龙江省,0,0,0,0,0,0,230000,黑龙江省,0,0,0,0,0,0,230000,黑龙江省,0,0,0,0,0,0,230000,黑龙江省,0,0,0,0,0,0,230000,黑龙江省,0,0,0,0,0,0,230000,黑龙江省,0,1,0,0,0,0,230000,黑龙江省,0,0,1,1,0,0,230000,黑龙江省,2,12,2,3,0,0,230000,黑龙江省,12,18,6,9,1,1,230000,黑龙江省,9,13,6,15,0,1,230000,黑龙江省,40,47,6,21,0,1,230000,黑龙江省,36,67,9,30,0,1,230000,黑龙江省,45,68,7,37,0,1,230000,黑龙江省,48,105,6,43,0,1,230000,黑龙江省,76,128,16,59,1,2,230000,黑龙江省,76,149,21,80,0,2,230000,黑龙江省,78,172,15,95,0,2,230000,黑龙江省,73,163,23,118,0,2,230000,黑龙江省,93,178,39,155,0,2,230000,黑龙江省,78,184,35,190,0,2,230000,黑龙江省,109,222,37,227,1,3,230000,黑龙江省,88,210,50,277,0,3,230000,黑龙江省,117,234,19,282,2,5,230000,黑龙江省,104,258,26,307,1,6,230000,黑龙江省,8,65,224,24,331,1,7,230000,黑龙江省,8,77,181,29,360,1,8,230000,黑龙江省,8,43,171,18,378,0,8,230000,黑龙江省,8,56,146,17,395,1,9,230000,黑龙江省,8,35,133,23,418,2,11,230000,黑龙江省,8,48,135,7,425,0,11,230000,黑龙江省,8,44,122,20,445,0,11,230000,黑龙江省,8,27,108,12,457,0,11,230000,黑龙江省,8,32,101,7,464,0,11,230000,黑龙江省,8,21,75,6,470,1,12,230000,黑龙江省,4,23,6,476,0,12,230000,黑龙江省,1,1,3,479,0,12,230000,黑龙江省,8,0,1,0,479,0,12,230000,黑龙江省,8,0,0,1,480,0,12,230000,黑龙江省,8,0,0,0,480,0,12,230000,黑龙江省,8,0,0,0,480,0,12,230000,黑龙江省,8,0,0,0,480,0,12,230000,黑龙江省,8,0,0,0,480,1,13,230000,黑龙江省,8,0,0,0,480,0,13,230000,黑龙江省,8,0,0,0,480,0,13,230000,黑龙江省,8,0,0,0,480,0,13,230000,黑龙江省,8,0,0,0,480,0,13,230000,黑龙江省,8,0,0,0,480,0,13,230000,黑龙江省,8,2,2,0,480,0,13,230000,黑龙江省,8,0,1,1,481,0,13
8,310000,上海市,0,0,0,0,0,0,310000,上海市,0,0,0,0,0,0,310000,上海市,0,0,0,0,0,0,310000,上海市,0,0,0,0,0,0,310000,上海市,7,7,2,2,0,0,310000,上海市,10,10,7,9,0,0,310000,上海市,16,16,7,16,0,0,310000,上海市,34,34,4,20,0,0,310000,上海市,81,72,13,33,0,0,310000,上海市,52,95,7,40,1,1,310000,上海市,65,90,13,53,0,1,310000,上海市,70,129,13,66,0,1,310000,上海市,70,167,14,80,0,1,310000,上海市,46,180,21,101,0,1,310000,上海市,91,164,27,128,0,1,310000,上海市,99,167,25,153,0,1,310000,上海市,103,168,24,177,0,1,310000,上海市,96,173,16,193,0,1,310000,上海市,84,168,15,208,0,1,310000,上海市,113,194,25,233,0,1,310000,上海市,102,196,21,254,0,1,310000,上海市,94,166,15,269,0,1,310000,上海市,120,181,12,281,0,1,310000,上海市,99,205,11,292,0,1,310000,上海市,9,118,223,3,295,0,1,310000,上海市,9,88,180,7,302,0,1,310000,上海市,9,124,177,4,306,0,1,310000,上海市,9,95,183,7,313,0,1,310000,上海市,9,81,156,5,318,0,1,310000,上海市,9,87,143,8,326,0,1,310000,上海市,9,75,142,2,328,0,1,310000,上海市,9,67,117,3,331,0,1,310000,上海市,9,65,97,2,333,0,1,310000,上海市,9,78,127,0,333,0,1,310000,上海市,56,115,0,333,1,2,310000,上海市,62,107,1,334,0,2,310000,上海市,9,48,100,0,334,1,3,310000,上海市,9,52,99,1,335,0,3,310000,上海市,9,36,90,0,335,0,3,310000,上海市,9,30,64,0,335,0,3,310000,上海市,9,46,78,1,336,0,3,310000,上海市,9,33,74,1,337,0,3,310000,上海市,9,36,64,0,337,0,3,310000,上海市,9,28,57,0,337,0,3,310000,上海市,9,10,32,0,337,0,3,310000,上海市,9,11,17,0,337,0,3,310000,上海市,9,9,19,1,338,0,3,310000,上海市,9,19,26,0,338,0,3,310000,上海市,9,17,32,0,338,0,3
9,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,1,1,0,0,320000,江苏省,0,0,4,5,0,0,320000,江苏省,0,0,9,14,0,0,320000,江苏省,0,0,17,31,0,0,320000,江苏省,0,0,16,47,0,0,320000,江苏省,0,0,23,70,0,0,320000,江苏省,0,0,29,99,0,0,320000,江苏省,0,0,30,129,0,0,320000,江苏省,0,0,39,168,0,0,320000,江苏省,36,42,34,202,0,0,320000,江苏省,34,47,34,236,0,0,320000,江苏省,26,44,35,271,0,0,320000,江苏省,39,47,37,308,0,0,320000,江苏省,42,43,33,341,0,0,320000,江苏省,48,55,32,373,0,0,320000,江苏省,34,59,35,408,0,0,320000,江苏省,28,68,31,439,0,0,320000,江苏省,24,67,29,468,0,0,320000,江苏省,10,25,67,24,492,0,0,320000,江苏省,10,19,64,23,515,0,0,320000,江苏省,10,22,62,28,543,0,0,320000,江苏省,10,17,59,27,570,0,0,320000,江苏省,10,14,49,23,593,0,0,320000,江苏省,10,3,41,11,604,0,0,320000,江苏省,10,9,32,13,617,0,0,320000,江苏省,10,3,22,9,626,0,0,320000,江苏省,10,4,22,3,629,0,0,320000,江苏省,10,0,20,2,631,0,0,320000,江苏省,1,13,0,631,0,0,320000,江苏省,1,12,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,9,0,631,0,0,320000,江苏省,10,0,8,0,631,0,0,320000,江苏省,10,0,8,0,631,0,0,320000,江苏省,10,0,7,0,631,0,0,320000,江苏省,10,0,5,0,631,0,0,320000,江苏省,10,0,5,0,631,0,0,320000,江苏省,10,0,4,0,631,0,0,320000,江苏省,10,0,4,0,631,0,0,320000,江苏省,10,0,3,0,631,0,0
