,累计确诊.1,累计确诊.2,累计确诊.3,累计确诊.4,累计确诊.5,累计确诊.6,累计确诊.7,累计确诊.8,累计确诊.9,累计确诊.10,累计确诊.11,累计确诊.12,累计确诊.13,累计确诊.14,累计确诊.15,累计确诊.16,累计确诊.17,累计确诊.18,累计确诊.19,累计确诊.20,累计确诊.21,累计确诊.22,累计确诊.23,累计确诊.24,累计确诊.25,累计确诊.26,累计确诊.27,累计确诊.28,累计确诊.29,累计确诊.30,累计确诊.31,累计确诊.32,累计确诊.33,累计确诊.34,累计确诊.35,累计确诊.36,累计确诊.37,累计确诊.38,累计确诊.39,累计确诊.40,累计确诊.41,累计确诊.42,累计确诊.43,累计确诊.44,累计确诊.45,累计确诊.46,累计确诊.47,累计确诊.48
0,0,0,0,5,10,14,26,36,51,67,80,96,112,132,156,183,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,399,400,400,410,410,411,413,414,414,417,418
1,0,0,0,0,2,4,5,8,10,15,23,25,27,32,34,45,49,63,67,70,79,81,88,91,96,106,112,119,120,122,124,125,128,130,131,133,135,135,135,135,135,136,136,136,136,136,136,136
2,0,0,0,0,0,1,2,8,13,18,33,48,65,82,96,104,113,126,135,157,171,195,206,218,239,251,265,283,291,300,301,302,306,307,308,309,311,311,311,312,317,318,318,318,318,318,318,318
3,0,0,0,0,0,1,1,6,9,13,20,27,35,39,47,56,66,74,81,90,96,104,115,119,122,124,126,126,127,128,129,130,131,131,132,132,132,132,133,133,133,133,133,133,133,133,133,133
4,0,0,0,0,0,0,1,2,7,11,13,16,18,20,23,26,33,37,42,46,49,50,54,58,58,60,61,63,68,70,72,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
5,0,0,0,0,0,2,4,12,17,22,27,36,39,45,60,64,70,74,81,89,94,99,105,107,108,111,116,117,119,120,121,121,121,121,121,121,121,121,121,121,121,121,121,122,122,125,125,125
6,0,0,0,0,0,1,3,4,4,6,8,9,14,14,17,23,31,42,54,59,65,69,78,80,81,83,84,86,88,89,89,89,90,91,91,91,91,93,93,93,93,93,93,93,93,93,93,93
7,0,0,0,0,0,1,3,9,15,21,30,37,43,59,80,95,118,155,190,227,277,282,307,331,360,378,395,418,425,445,457,464,470,476,479,479,480,480,480,480,480,480,480,480,480,480,480,481
8,0,0,0,2,9,16,20,33,40,53,66,80,101,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328,331,333,333,333,334,334,335,335,335,336,337,337,337,337,337,338,338,338
9,0,0,0,0,0,1,5,14,31,47,70,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570,593,604,617,626,629,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631
